,HP Category_x,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR,HP Category_y,u.CAGI_3mths,d.CAGI_3mths,u.IR_3mths,d.IR_3mths,u.NonIR_3mths,d.NonIR_3mths,u.CAGI_6mths,d.CAGI_6mths,u.IR_6mths,d.IR_6mths,u.NonIR_6mths,d.NonIR_6mths
46,10 hp,2012,11,388.0,2206844.0,92.0,498488.0,296.0,1708356.0,10 hp,396.6666666666667,2157064.6666666665,68.66666666666667,367676.6666666667,328.0,1789388.0,409.0,2186883.6666666665,75.33333333333333,392416.3333333333,333.6666666666667,1794467.3333333333
47,10 hp,2012,12,394.0,2260564.0,104.0,550204.0,290.0,1710360.0,10 hp,394.0,2209490.6666666665,86.0,461981.3333333333,308.0,1747509.3333333333,403.3333333333333,2182225.6666666665,80.66666666666667,425238.3333333333,322.6666666666667,1756987.3333333333
48,10 hp,2013,1,358.0,2064074.0,76.0,399630.0,282.0,1664444.0,10 hp,380.0,2177160.6666666665,90.66666666666667,482774.0,289.3333333333333,1694386.6666666667,393.6666666666667,2141661.3333333335,77.0,407250.0,316.6666666666667,1734411.3333333333
49,10 hp,2013,2,406.0,2293626.0,112.0,587162.0,294.0,1706464.0,10 hp,386.0,2206088.0,97.33333333333333,512332.0,288.6666666666667,1693756.0,391.3333333333333,2181576.3333333335,83.0,440004.3333333333,308.3333333333333,1741572.0
50,10 hp,2013,3,392.0,2169230.0,82.0,415354.0,310.0,1753876.0,10 hp,385.3333333333333,2175643.3333333335,90.0,467382.0,295.3333333333333,1708261.3333333333,389.6666666666667,2192567.0,88.0,464681.6666666667,301.6666666666667,1727885.3333333333
51,10 hp,2013,4,474.0,2468444.0,100.0,531614.0,374.0,1936830.0,10 hp,424.0,2310433.3333333335,98.0,511376.6666666667,326.0,1799056.6666666667,402.0,2243797.0,94.33333333333333,497075.3333333333,307.6666666666667,1746721.6666666667
52,10 hp,2013,5,490.0,2566232.0,104.0,565160.0,386.0,2001072.0,10 hp,452.0,2401302.0,95.33333333333333,504042.6666666667,356.6666666666667,1897259.3333333333,419.0,2303695.0,96.33333333333333,508187.3333333333,322.6666666666667,1795507.6666666667
53,10 hp,2013,6,464.0,2350834.0,86.0,444386.0,378.0,1906448.0,10 hp,476.0,2461836.6666666665,96.66666666666667,513720.0,379.3333333333333,1948116.6666666667,430.6666666666667,2318740.0,93.33333333333333,490551.0,337.3333333333333,1828189.0
54,10 hp,2013,7,368.0,2025940.0,92.0,491792.0,276.0,1534148.0,10 hp,440.6666666666667,2314335.3333333335,94.0,500446.0,346.6666666666667,1813889.3333333333,432.3333333333333,2312384.3333333335,96.0,505911.3333333333,336.3333333333333,1806473.0
55,10 hp,2013,8,482.0,2592014.0,94.0,521744.0,388.0,2070270.0,10 hp,438.0,2322929.3333333335,90.66666666666667,485974.0,347.3333333333333,1836955.3333333333,445.0,2362115.6666666665,93.0,495008.3333333333,352.0,1867107.3333333333
56,10 hp,2013,9,460.0,2389344.0,96.0,464814.0,364.0,1924530.0,10 hp,436.6666666666667,2335766.0,94.0,492783.3333333333,342.6666666666667,1842982.6666666667,456.3333333333333,2398801.3333333335,95.33333333333333,503251.6666666667,361.0,1895549.6666666667
57,10 hp,2013,10,396.0,2205798.0,76.0,423022.0,320.0,1782776.0,10 hp,446.0,2395718.6666666665,88.66666666666667,469860.0,357.3333333333333,1925858.6666666667,443.3333333333333,2355027.0,91.33333333333333,485153.0,352.0,1869874.0
58,10 hp,2013,11,470.0,2722910.0,92.0,494082.0,378.0,2228828.0,10 hp,442.0,2439350.6666666665,88.0,460639.3333333333,354.0,1978711.3333333333,440.0,2381140.0,89.33333333333333,473306.6666666667,350.6666666666667,1907833.3333333333
59,10 hp,2013,12,484.0,2723290.0,100.0,533702.0,384.0,2189588.0,10 hp,450.0,2550666.0,89.33333333333333,483602.0,360.6666666666667,2067064.0,443.3333333333333,2443216.0,91.66666666666667,488192.6666666667,351.6666666666667,1955023.3333333333
60,10 hp,2014,1,406.0,2507608.0,110.0,606268.0,296.0,1901340.0,10 hp,453.3333333333333,2651269.3333333335,100.66666666666667,544684.0,352.6666666666667,2106585.3333333335,449.6666666666667,2523494.0,94.66666666666667,507272.0,355.0,2016222.0
61,10 hp,2014,2,376.0,2154678.0,94.0,500526.0,282.0,1654152.0,10 hp,422.0,2461858.6666666665,101.33333333333333,546832.0,320.6666666666667,1915026.6666666667,432.0,2450604.6666666665,94.66666666666667,503735.6666666667,337.3333333333333,1946869.0
62,10 hp,2014,3,404.0,2413078.0,86.0,473120.0,318.0,1939958.0,10 hp,395.3333333333333,2358454.6666666665,96.66666666666667,526638.0,298.6666666666667,1831816.6666666667,422.6666666666667,2454560.3333333335,93.0,505120.0,329.6666666666667,1949440.3333333333
63,10 hp,2014,4,568.0,2973512.0,104.0,552410.0,464.0,2421102.0,10 hp,449.3333333333333,2513756.0,94.66666666666667,508685.3333333333,354.6666666666667,2005070.6666666667,451.3333333333333,2582512.6666666665,97.66666666666667,526684.6666666666,353.6666666666667,2055828.0
64,10 hp,2014,5,205.0,1118660.0,92.0,501449.4,159.0,867935.3,10 hp,392.3333333333333,2168416.6666666665,94.0,508993.1333333333,313.6666666666667,1742998.4333333333,407.1666666666667,2315137.6666666665,97.66666666666667,527912.5666666667,317.1666666666667,1829012.55
65,10 hp,2014,6,634.0,3069538.0,118.0,662806.24,516.0,2406731.76,10 hp,469.0,2387236.6666666665,104.66666666666667,572221.8799999999,379.6666666666667,1898589.6866666665,432.1666666666667,2372845.6666666665,100.66666666666667,549429.94,339.1666666666667,1865203.1766666668
66,10 hp,2014,7,0.0,0.0,0.0,0.0,0.0,0.0,10 hp,279.6666666666667,1396066.0,70.0,388085.2133333332,225.0,1091555.6866666665,364.5,1954911.0,82.33333333333333,448385.27333333326,289.8333333333333,1548313.1766666668
67,10 hp,2014,8,0.0,0.0,0.0,0.0,0.0,0.0,10 hp,211.33333333333334,1023179.3333333334,39.333333333333336,220935.4133333332,172.0,802243.9199999999,301.8333333333333,1595798.0,66.66666666666667,364964.27333333326,242.83333333333334,1272621.1766666668
68,10 hp,2014,9,0.0,0.0,0.0,0.0,0.0,0.0,10 hp,0.0,0.0,0.0,0.0,0.0,0.0,234.5,1193618.3333333333,52.333333333333336,286110.93999999994,189.83333333333334,949294.8433333334
69,10 hp,2014,10,0.0,0.0,0.0,0.0,0.0,0.0,10 hp,0.0,0.0,0.0,0.0,0.0,0.0,139.83333333333334,698033.0,35.0,194042.6066666666,112.5,545777.8433333334
70,10 hp,2014,11,0.0,0.0,0.0,0.0,0.0,0.0,10 hp,0.0,0.0,0.0,0.0,0.0,0.0,105.66666666666667,511589.6666666667,19.666666666666668,110467.7066666666,86.0,401121.96000000014
71,10 hp,2014,12,0.0,0.0,0.0,0.0,0.0,0.0,10 hp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5522042910257974e-10
72,100 hp,2009,1,128.0,3400652.0,42.0,1098086.0,86.0,2302566.0,100 hp,128.0,3400652.0,42.0,1098086.0,86.0,2302566.0,128.0,3400652.0,42.0,1098086.0,86.0,2302566.0
