RecordID,HP Category,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR,r3mo_d_CAGI,r3mo_d_IR,r3mo_d_NonIR,r3mo_u_CAGI,r3mo_u_IR,r3mo_u_NonIR,r6mo_d_CAGI,r6mo_d_IR,r6mo_d_NonIR,r6mo_u_CAGI,r6mo_u_IR,r6mo_u_NonIR
41,10 hp,2012,5,482,2287008,74,378636,408,1908372,2239181.33333333,402446,1836735.33333333,431.333333333333,80.6666666666667,350.666666666667,2145691.66666667,398599,1747092.66666667,398,80,318
42,10 hp,2012,6,428,2288512,72,353272,356,1935240,2187271.33333333,346827.333333333,1840444,426,69.3333333333333,356.666666666667,2148220.33333333,385242.333333333,1762978,401.666666666667,77.6666666666667,324
43,10 hp,2012,7,416,2307460,98,507560,318,1799900,2294326.66666667,413156,1881170.66666667,442,81.3333333333333,360.666666666667,2253529.33333333,434858.666666667,1818670.66666667,422.666666666667,87,335.666666666667
44,10 hp,2012,8,420,2054136,76,390636,344,1663500,2216702.66666667,417156,1799546.66666667,421.333333333333,82,339.333333333333,2227942,409801,1818141,426.333333333333,81.3333333333333,345
45,10 hp,2012,9,402,2103286,52,267290,350,1835996,2154960.66666667,388495.333333333,1766465.33333333,412.666666666667,75.3333333333333,337.333333333333,2171116,367661.333333333,1803454.66666667,419.333333333333,72.3333333333333,347
46,10 hp,2012,10,400,2161064,62,337252,338,1823812,2106162,331726,1774436,407.333333333333,63.3333333333333,344,2200244.33333333,372441,1827803.33333333,424.666666666667,72.3333333333333,352.333333333333
47,10 hp,2012,11,388,2206844,92,498488,296,1708356,2157064.66666667,367676.666666667,1789388,396.666666666667,68.6666666666667,328,2186883.66666667,392416.333333333,1794467.33333333,409,75.3333333333333,333.666666666667
48,10 hp,2012,12,394,2260564,104,550204,290,1710360,2209490.66666667,461981.333333333,1747509.33333333,394,86,308,2182225.66666667,425238.333333333,1756987.33333333,403.333333333333,80.6666666666667,322.666666666667
49,10 hp,2013,1,358,2064074,76,399630,282,1664444,2177160.66666667,482774,1694386.66666667,380,90.6666666666667,289.333333333333,2141661.33333333,407250,1734411.33333333,393.666666666667,77,316.666666666667
50,10 hp,2013,2,406,2293626,112,587162,294,1706464,2206088,512332,1693756,386,97.3333333333333,288.666666666667,2181576.33333333,440004.333333333,1741572,391.333333333333,83,308.333333333333
51,10 hp,2013,3,392,2169230,82,415354,310,1753876,2175643.33333333,467382,1708261.33333333,385.333333333333,90,295.333333333333,2192567,464681.666666667,1727885.33333333,389.666666666667,88,301.666666666667
52,10 hp,2013,4,474,2468444,100,531614,374,1936830,2310433.33333333,511376.666666667,1799056.66666667,424,98,326,2243797,497075.333333333,1746721.66666667,402,94.3333333333333,307.666666666667
53,10 hp,2013,5,490,2566232,104,565160,386,2001072,2401302,504042.666666667,1897259.33333333,452,95.3333333333333,356.666666666667,2303695,508187.333333333,1795507.66666667,419,96.3333333333333,322.666666666667
54,10 hp,2013,6,464,2350834,86,444386,378,1906448,2461836.66666667,513720,1948116.66666667,476,96.6666666666667,379.333333333333,2318740,490551,1828189,430.666666666667,93.3333333333333,337.333333333333
55,10 hp,2013,7,368,2025940,92,491792,276,1534148,2314335.33333333,500446,1813889.33333333,440.666666666667,94,346.666666666667,2312384.33333333,505911.333333333,1806473,432.333333333333,96,336.333333333333
56,10 hp,2013,8,482,2592014,94,521744,388,2070270,2322929.33333333,485974,1836955.33333333,438,90.6666666666667,347.333333333333,2362115.66666667,495008.333333333,1867107.33333333,445,93,352
57,10 hp,2013,9,460,2389344,96,464814,364,1924530,2335766,492783.333333333,1842982.66666667,436.666666666667,94,342.666666666667,2398801.33333333,503251.666666667,1895549.66666667,456.333333333333,95.3333333333333,361
58,10 hp,2013,10,396,2205798,76,423022,320,1782776,2395718.66666667,469860,1925858.66666667,446,88.6666666666667,357.333333333333,2355027,485153,1869874,443.333333333333,91.3333333333333,352
59,10 hp,2013,11,470,2722910,92,494082,378,2228828,2439350.66666667,460639.333333333,1978711.33333333,442,88,354,2381140,473306.666666667,1907833.33333333,440,89.3333333333333,350.666666666667
60,10 hp,2013,12,484,2723290,100,533702,384,2189588,2550666,483602,2067064,450,89.3333333333333,360.666666666667,2443216,488192.666666667,1955023.33333333,443.333333333333,91.6666666666667,351.666666666667
61,10 hp,2014,1,406,2507608,110,606268,296,1901340,2651269.33333333,544684,2106585.33333333,453.333333333333,100.666666666667,352.666666666667,2523494,507272,2016222,449.666666666667,94.6666666666667,355
62,10 hp,2014,2,376,2154678,94,500526,282,1654152,2461858.66666667,546832,1915026.66666667,422,101.333333333333,320.666666666667,2450604.66666667,503735.666666667,1946869,432,94.6666666666667,337.333333333333
63,10 hp,2014,3,404,2413078,86,473120,318,1939958,2358454.66666667,526638,1831816.66666667,395.333333333333,96.6666666666667,298.666666666667,2454560.33333333,505120,1949440.33333333,422.666666666667,93,329.666666666667
64,10 hp,2014,4,568,2973512,104,552410,464,2421102,2513756,508685.333333333,2005070.66666667,449.333333333333,94.6666666666667,354.666666666667,2582512.66666667,526684.666666667,2055828,451.333333333333,97.6666666666667,353.666666666667
65,10 hp,2014,5,205,1118660,92,501449.4,159,867935.3,2168416.66666667,508993.133333333,1742998.43333333,392.333333333333,94,313.666666666667,2315137.66666667,527912.566666667,1829012.55,407.166666666667,97.6666666666667,317.166666666667
